weight_profile,scenario_key,scenario_label,method,toggle_off,run,seed,feasible,total_score,total_cost,hard_total,kpi_mold_change,kpi_night_mold_change,kpi_inventory,kpi_machine_count,elapsed_sec,status,error
default,full,Full framework,gatabu,,1,1,False,4835203.400833333,3182711.0,1652492.4008333334,7.0,0.0,3182556.0,17.0,82.4274,ok,
default,full,Full framework,gatabu,,2,2,False,4810645.094722223,3411406.0,1399239.094722222,8.0,0.0,3411241.0,17.0,64.4169,ok,
default,full,Full framework,gatabu,,3,3,False,4796066.826111111,3020454.0,1775612.826111111,4.0,0.0,3020334.0,16.0,80.6075,ok,
default,full,Full framework,gatabu,,4,4,False,4769553.8047222225,2990658.0,1778895.8047222223,6.0,0.0,2990513.0,17.0,69.2216,ok,
default,full,Full framework,gatabu,,5,5,False,4792274.473888889,2996539.0,1795735.473888889,3.0,0.0,2996424.0,17.0,72.6487,ok,
default,full,Full framework,gatabu,,6,6,False,4702554.601111111,3100785.0,1601769.6011111112,5.0,0.0,3100650.0,17.0,61.2064,ok,
default,full,Full framework,gatabu,,7,7,False,4783118.5675,3049933.0,1733185.5675000001,13.0,0.0,3049723.0,16.0,68.2701,ok,
default,full,Full framework,gatabu,,8,8,False,4870441.433055555,3308180.0,1562261.4330555554,6.0,0.0,3308040.0,16.0,60.8154,ok,
default,full,Full framework,gatabu,,9,9,False,4790191.896388889,2952731.0,1837460.896388889,4.0,0.0,2952606.0,17.0,53.7099,ok,
default,full,Full framework,gatabu,,10,10,False,4775255.442222223,3095149.0,1680106.4422222222,3.0,0.0,3095034.0,17.0,54.7573,ok,
default,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",1,1,False,4835203.400833333,3182711.0,1652492.4008333334,7.0,0.0,3182556.0,17.0,64.9019,ok,
default,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",2,2,False,4810645.094722223,3411406.0,1399239.094722222,8.0,0.0,3411241.0,17.0,65.6511,ok,
default,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",3,3,False,4796066.826111111,3020454.0,1775612.826111111,4.0,0.0,3020334.0,16.0,66.1832,ok,
default,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",4,4,False,4769553.8047222225,2990658.0,1778895.8047222223,6.0,0.0,2990513.0,17.0,65.8955,ok,
default,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",5,5,False,4792274.473888889,2996539.0,1795735.473888889,3.0,0.0,2996424.0,17.0,62.9304,ok,
default,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",6,6,False,4702554.601111111,3100785.0,1601769.6011111112,5.0,0.0,3100650.0,17.0,65.1533,ok,
default,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",7,7,False,4783118.5675,3049933.0,1733185.5675000001,13.0,0.0,3049723.0,16.0,77.0188,ok,
default,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",8,8,False,4870441.433055555,3308180.0,1562261.4330555554,6.0,0.0,3308040.0,16.0,75.3024,ok,
default,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",9,9,False,4790191.896388889,2952731.0,1837460.896388889,4.0,0.0,2952606.0,17.0,82.4703,ok,
default,no_night,Without night penalty,gatabu,"SOFT_NIGHT_MOLD_CHANGE,HARD_NO_NIGHT_MOLD_SETUP",10,10,False,4775255.442222223,3095149.0,1680106.4422222222,3.0,0.0,3095034.0,17.0,89.3852,ok,
default,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,1,1,False,8540576.378055556,8535658.0,4918.378055555556,10.0,0.0,8535473.0,17.0,86.7353,ok,
default,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,2,2,False,6989889.9297222225,6985048.0,4841.929722222222,5.0,0.0,6984913.0,17.0,73.9914,ok,
default,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,3,3,False,7174911.73,7169983.0,4928.73,4.0,0.0,7169873.0,14.0,81.0734,ok,
default,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,4,4,False,7398163.4297222225,7393331.0,4832.429722222223,5.0,0.0,7393201.0,16.0,90.9491,ok,
default,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,5,5,False,8087643.178611111,8082697.0,4946.178611111111,4.0,0.0,8082577.0,16.0,78.0083,ok,
default,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,6,6,False,8222574.816388889,8217718.0,4856.81638888889,9.0,0.0,8217553.0,15.0,74.9448,ok,
default,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,7,7,False,7692917.313611111,7688017.0,4900.313611111111,8.0,0.0,7687857.0,16.0,62.2377,ok,
default,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,8,8,False,7946979.146111111,7942092.0,4887.146111111112,8.0,0.0,7941937.0,15.0,69.8707,ok,
default,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,9,9,False,6930125.119444445,6925321.0,4804.1194444444445,5.0,0.0,6925201.0,14.0,61.8971,ok,
default,no_inventory,Without inventory penalty,gatabu,SOFT_INVENTORY_LOW,10,10,False,8014433.991944444,8009560.0,4873.991944444444,5.0,0.0,8009425.0,17.0,58.6864,ok,
default,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,1,1,False,4783987.946666667,3211510.0,1572477.9466666668,5.0,0.0,3211380.0,16.0,60.5178,ok,
default,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,2,2,False,4799918.933055555,3024586.0,1775332.9330555557,9.0,0.0,3024411.0,17.0,63.9093,ok,
default,no_mold_change,Without mold-change penalty,gatabu,SOFT_MOLD_CHANGE_MINIMIZE,3,3,False,4788542.7144444445,3214275.0,1574267.7144444443,7.0,0.0,3214120.0,17.0,61.9194,ok,
