weight_profile,scenario_key,scenario_label,method,runs_ok,feasible_rate,total_score_mean,total_score_std,total_score_best,total_cost_mean,hard_total_mean,kpi_mold_change_mean,kpi_night_mold_change_mean,kpi_inventory_mean,kpi_machine_count_mean
default,full,Full framework,gatabu,10,0.0,4792530.554055556,41530.557083892985,4702554.601111111,3110854.6,1681675.9540555556,5.9,0.0,3110712.1,16.7
default,no_night,Without night penalty,gatabu,10,0.0,4792530.554055556,41530.557083892985,4702554.601111111,3110854.6,1681675.9540555556,5.9,0.0,3110712.1,16.7
default,no_inventory,Without inventory penalty,gatabu,10,0.0,7699821.5033611115,524749.8689662974,6930125.119444445,7694942.5,4879.003361111111,6.3,0.0,7694801.0,15.7
default,no_mold_change,Without mold-change penalty,gatabu,10,0.0,4772055.2245000005,45232.82353510121,4702554.601111111,3119130.3,1652924.9245000002,5.5,0.0,3118991.8,16.7
default,no_tabu,Without Tabu refinement,ga,10,0.0,4796214.386472222,36237.685718007684,4725339.996111112,3168525.9,1627688.4864722223,7.6,0.0,3168368.4,16.3
normalized,full,Full framework,gatabu,10,0.0,8807.456162295975,332.1085198902437,8254.125860054295,3674.1666900737523,5133.289472222223,1.8,0.0,7499921.0,16.0
normalized,no_night,Without night penalty,gatabu,10,0.0,8807.456162295975,332.1085198902437,8254.125860054295,3674.1666900737523,5133.289472222223,1.8,0.0,7499921.0,16.0
normalized,no_inventory,Without inventory penalty,gatabu,10,0.0,9049.809837638732,291.65955120476855,8254.125860054295,3913.9245598609546,5135.885277777777,2.3,0.0,7944865.0,16.2
normalized,no_mold_change,Without mold-change penalty,gatabu,10,0.0,9312.54110771772,429.2536864265894,8716.143412756282,4378.101941051053,4934.439166666666,7.0,0.0,7208794.6,14.6
normalized,no_tabu,Without Tabu refinement,ga,10,0.0,9057.294025969317,246.47104320900786,8716.143412756282,4006.1453870804276,5051.148638888889,4.1,0.0,7450349.8,15.3
